bin	word	pos	lfpm10r	nsyl	nchar
1	extrém	adjective	1.384	2	6
1	pohár	noun	1.388	2	5
1	törődik	verb	0.7	3	7
1	ellenfél	noun	1.362	3	8
2	szegény	adjective	1.681	2	7
2	eszköz	noun	1.983	2	6
2	alkalom	noun	1.587	3	7
2	időszak	noun	1.939	3	7
3	mítosz	noun	0.619	2	6
3	közhely	noun	0.426	2	7
3	tartalom	noun	1.71	3	8
3	rejtőzik	verb	0.612	3	8
4	barát	noun	1.221	2	5
4	dolog	noun	2.387	2	5
4	törékeny	adjective	0.894	3	8
4	karakter	noun	1.43	3	8
5	profit	noun	0.862	2	6
5	gazdag	adjective	1.977	2	6
5	kötődik	verb	1.137	3	7
5	példakép	noun	0.329	3	8
6	lélek	noun	1.694	2	5
6	hajlik	verb	0.575	2	6
6	dolgozik	verb	1.948	3	8
6	hatalom	noun	1.658	3	7
7	beton	noun	1.056	2	5
7	jármű	noun	1.595	2	5
7	gyűjtemény	noun	1.112	3	10
7	keresztény	adjective	1.817	3	10
8	űrlap	noun	1.015	2	5
8	irány	noun	1.373	2	5
8	töredék	noun	0.316	3	7
8	könnyelmű	adjective	0.019	3	9
9	örmény	adjective	0.795	2	6
9	végbél	noun	0.305	2	6
9	százalék	noun	1.899	3	8
9	reagál	verb	1.189	3	6
10	régész	noun	0.538	2	6
10	század	noun	2.036	2	6
10	égitest	noun	0.434	3	7
10	ausztrál	adjective	1.198	3	8
11	bélyeg	noun	0.274	2	6
11	pereg	verb	0.061	2	5
11	hálózsák	noun	-0.037	3	8
11	nagyszámú	adjective	0.902	3	9
12	kárpit	noun	0.194	2	6
12	balközép	adjective	-0.179	3	8
12	tábornagy	noun	-0.321	3	9
12	diktátor	noun	0.599	3	8
13	kislány	noun	1.415	2	7
13	komoly	adjective	2.29	2	6
13	csatázik	verb	-0.489	3	8
13	piktogram	noun	-0.278	3	9
14	kulcscsont	noun	-0.536	2	10
14	délceg	adjective	-0.228	2	6
14	csengettyű	noun	-0.622	3	10
14	sárgaréz	noun	-0.031	3	8
15	sugár	noun	0.422	2	5
15	komplex	adjective	1.745	2	7
15	igény	noun	1.885	2	5
15	hidroxid	noun	-0.536	3	8
16	olaj	noun	1.54	2	4
16	iszlám	adjective	1.246	2	6
16	nárcisz	noun	-0.25	2	7
16	újgazdag	noun	-0.337	3	8
17	árus	adjective	-0.422	2	4
17	szempont	noun	1.61	2	8
17	sporthorgász	noun	-0.907	3	12
17	rakódik	verb	0.094	3	7
18	tenger	noun	1.456	2	6
18	rövid	adjective	2.339	2	5
18	forgórész	noun	-0.244	3	9
18	csontdarab	noun	-1.165	3	10
19	fürkész	verb	-0.829	2	7
19	látszik	verb	2.055	2	7
19	ómagyar	adjective	-0.441	3	7
19	orális	adjective	0.569	3	6
20	színpad	noun	1.058	2	7
20	tarol	verb	-0.219	2	5
20	elegy	adjective	-1.266	2	5
20	horizont	noun	0.296	3	8
21	lépték	noun	0.16	2	6
21	darab	noun	2.044	2	5
21	ború	noun	-0.485	2	4
21	nagybeteg	noun	-0.276	3	9
22	glükóz	noun	0.41	2	6
22	selypít	verb	-1.452	2	7
22	lágyék	noun	-0.685	2	6
22	kanalaz	verb	-1.325	3	7
23	sziszeg	verb	-0.745	2	7
23	grafikon	noun	0.471	3	8
23	változik	verb	1.765	3	8
23	népszerű	adjective	1.814	3	8
24	gyapot	noun	-0.198	2	6
24	luftballon	noun	-1.821	3	10
24	biliárd	noun	-0.011	3	7
24	mellényzseb	noun	-1.973	3	11
25	tököl	verb	-1.12	2	5
25	testnedv	noun	-0.969	2	8
25	nyersarany	noun	-2.548	3	10
25	gyülemlik	verb	-1.145	3	9
26	turné	noun	0.819	2	5
26	csüggeszt	verb	-1.753	2	9
26	tangózik	verb	-1.78	3	8
26	referál	verb	-0.432	3	7
27	heveny	adjective	0.516	2	6
27	derít	verb	0.012	2	5
27	viszkózus	adjective	-0.482	3	9
27	hidegház	noun	-2.509	3	8
28	lukaszt	verb	-2.591	2	7
28	reform	noun	0.936	2	6
28	nukleon	noun	-1.266	3	7
28	puritán	adjective	0.459	3	7
29	nimbus	adjective	-2.756	2	6
29	bacon	noun	0.189	2	5
29	kalcium	noun	1.004	3	7
29	transzplantál	verb	-3.092	3	13
30	szokik	verb	-0.316	2	6
30	viszkóz	noun	-0.61	2	7
30	csüggedez	verb	-2.756	3	9
30	szalicil	noun	-0.79	3	8
31	kitin	noun	-0.946	2	5
31	abszint	noun	-0.659	2	7
31	szilikát	noun	-0.363	3	8
31	tropikus	adjective	-0.563	3	8
32	ion	noun	0.155	2	3
32	bolgár	adjective	1.03	2	6
32	keresztyén	adjective	0.818	3	10
32	arzénsav	noun	-2.408	3	8
33	svábtök	adjective	-3.87	2	7
33	komál	verb	-2.031	2	5
33	skubizik	verb	-3.171	3	8
33	gerencsér	noun	-1.63	3	9
34	csapdáz	verb	-3.268	2	7
34	püffeszt	verb	-3.87	2	8
34	kettősfém	noun	-2.756	3	9
34	kondenzcsík	noun	-1.009	3	11
35	rücsök	noun	-1.879	2	6
35	lakotthely	noun	-2.472	3	10
35	koenzim	noun	0.003	3	7
35	anorák	noun	-1.335	3	6
36	genom	noun	0.016	2	5
36	kurtít	verb	-2.237	2	6
36	csapattest	noun	-1.301	3	10
36	bárányfark	noun	-3.092	3	10
37	árstop	noun	-2.365	2	6
37	farkasbab	noun	-2.154	3	9
37	neoprén	noun	-0.057	3	7
37	konverzál	verb	-2.967	3	9
38	törköly	noun	-0.572	2	7
38	dádá	noun	-1.428	2	4
38	fertilis	adjective	-1.185	3	8
38	pauzál	verb	-3.092	3	6
39	alfél	noun	-2.365	2	5
39	fajansz	noun	-0.829	2	7
39	rotor	noun	-0.054	2	5
39	kencéz	verb	-3.569	2	6
40	bizmut	noun	-0.988	2	6
40	kúpol	verb	-1.906	2	5
40	donhuán	noun	-2.472	3	7
40	lazúroz	verb	-3.569	3	7
41	lejmol	verb	-2.031	2	6
41	káder	noun	-0.593	2	5
41	bajuszfű	noun	-2.967	3	8
41	templomoz	verb	-3.092	3	9
42	kurzív	adjective	-0.736	2	6
42	ingváll	noun	-1.276	2	7
42	dipeptid	noun	-1.46	3	8
42	türemlik	verb	-2.393	3	8
43	forrpont	noun	-1.542	2	8
43	rámáz	verb	-3.171	2	5
43	áradmány	noun	-2.64	3	8
43	cianid	noun	-0.711	3	6
44	glosszáz	verb	-3.569	2	8
44	libling	noun	-1.946	2	7
44	magmatit	noun	-2.666	3	8
44	viszonvád	noun	-2.163	3	9
45	ifjít	verb	-3.092	2	5
45	hübrisz	noun	-0.863	2	7
45	adszorbens	adjective	-1.303	3	10
45	kollapszus	noun	-1.065	3	10
46	kvéker	adjective	-1.672	2	6
46	truccol	verb	-2.694	2	7
46	bajadér	noun	-1.417	3	7
46	mimézis	noun	-1.054	3	7
47	orront	verb	-2.057	2	6
47	petél	verb	-3.092	2	5
47	kontrapunkt	noun	-1.743	3	11
47	rekvizit	noun	-1.973	3	8
48	döföl	verb	-2.724	2	5
48	infimum	noun	-2.339	3	7
48	aggófű	noun	-1.365	3	6
48	kurzivál	verb	-3.092	3	8
49	piláf	noun	-1.262	2	5
49	lalláz	verb	-3.268	2	6
49	móringol	verb	-2.967	3	8
49	cugehőr	noun	-2.916	3	7
50	diviz	noun	-2.569	2	5
50	vabank	noun	-2.247	2	6
50	diffamál	verb	-3.393	3	8
50	krakéler	noun	-1.411	3	8
