Subject	data_type	participant_cap	max_trial_number	max_block	n_mistakes_for_real_words_total	exp	link
200							
1000							
1001	complete data	32	122	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1002	complete data	48	113	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1004	complete data	28	119	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1005	complete data	32	107	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1006	complete data	35	116	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1008							
1102	complete data	46	114	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1103	complete data	34	119	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1201	complete data	34	122	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1202	complete data	31	113	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1203	complete data	31	103	46	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1204	complete data	31	119	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1205	complete data	34	113	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1206	complete data	35	113	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1207	complete data	33	75	34	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1208	complete data	43	117	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1209	complete data	43	107	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1210	complete data	18	116	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1211	complete data	27	118	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1212	complete data	37	120	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
121212							
1213	complete data	34	120	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1214	complete data	34	118	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1215	complete data	29	115	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1302							
1303	complete data	37	116	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1304							
1305	complete data	18	117	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1306	complete data	30	124	50	24	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1307	complete data	20	128	47	37	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1308	complete data	32	126	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1309	complete data	50	107	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1310	complete data	50	115	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1312	complete data	31	122	50	26	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1313	complete data	37	113	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1314	complete data	45	109	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1315	complete data	39	111	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1316	complete data	33	122	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1317	complete data	49	105	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1318	complete data	36	118	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1319							
1320	complete data	26	114	49	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1321	complete data	50	109	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1322	complete data	34	114	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1323	complete data	46	108	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1324	complete data	50	110	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1325	complete data	1	6	2	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1327	complete data	36	109	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1328	complete data	36	120	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1329	complete data	27	130	50	31	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1330	complete data	36	120	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1331	complete data	45	113	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1332	complete data	11	116	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1334	complete data	43	116	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1335	complete data	20	118	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1336	complete data	50	110	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1337	complete data	30	117	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1338	complete data	29	110	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1339	complete data	30	115	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1340	complete data	37	120	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1341	complete data	32	125	50	30	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1342	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1343	complete data	25	115	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1344	complete data	26	114	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1345	complete data	34	118	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1346	complete data	48	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1347	complete data	19	112	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1348	complete data	46	117	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1349	complete data	30	119	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1350	complete data	33	111	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1351	complete data	31	110	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1352	complete data	31	115	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1353	complete data	45	108	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1354	complete data	35	121	50	30	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1355	complete data	50	104	50	4	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1356	complete data	50	106	50	3	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1357	complete data	39	110	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1358	complete data	18	118	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1359	complete data	32	111	49	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1360	complete data	33	111	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1361	complete data	50	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1362	complete data	46	114	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1363	complete data	50	111	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1364	complete data	26	120	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1365	complete data	50	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1366	complete data	35	112	49	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1367	complete data	40	113	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1368	complete data	35	115	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1369	complete data	32	122	50	26	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1370	complete data	18	134	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1371	complete data	18	116	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1372	complete data	50	109	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1373	complete data	1	8	2	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1374	complete data	36	114	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1375	complete data	33	117	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1376	complete data	39	115	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1377	complete data	45	116	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1378	complete data	40	114	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1379	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1380	complete data	36	113	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1381							
1382	complete data	50	111	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1383	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1918	complete data	49	109	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
19181							
200							
2001	complete data	31	108	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2002	complete data	48	107	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2003	complete data	14	138	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2004	complete data	40	117	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2005							
2006	complete data	50	114	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2007	complete data	32	116	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2030	complete data	32	123	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2101	incomplete data	36	124	50	32	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2102	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2103	complete data	50	112	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2201	complete data	33	120	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2202	complete data	46	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2203	complete data	43	118	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2204	complete data	37	116	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2205	complete data	43	112	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2206	complete data	41	111	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2207	complete data	31	122	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2208	complete data	23	117	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2210	complete data	26	118	50	28	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2211	complete data	50	108	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2212	complete data	31	120	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2213	complete data	32	117	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2214	complete data	43	112	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2215	complete data	31	113	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2301	complete data	39	114	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2302	complete data	50	114	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2303	complete data	41	113	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2305	complete data	50	108	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2306	complete data	32	121	50	24	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2307	complete data	50	108	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2308	complete data	45	114	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2309	complete data	30	107	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2310	complete data	50	109	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2311	complete data	40	118	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2312	complete data	33	111	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2313	complete data	39	116	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2314	complete data	48	112	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2315	complete data	29	110	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2316	complete data	48	105	50	4	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2317	complete data	32	116	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2318	complete data	26	119	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2320	complete data	30	128	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2321	complete data	46	108	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2322	complete data	50	112	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2323	complete data	31	113	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2324	complete data	27	117	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2325	complete data	50	116	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2326	complete data	32	115	50	24	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2327	complete data	37	119	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2328	complete data	33	115	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2329	complete data	22	121	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2330	complete data	25	114	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2331	complete data	39	113	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2332	complete data	32	124	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2333	complete data	37	116	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2334	complete data	50	108	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2335	complete data	30	120	50	24	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2336	complete data	39	112	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2337	complete data	49	114	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2338	complete data	50	114	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2339	complete data	39	111	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2340	complete data	30	119	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2341	complete data	46	111	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2343							
2344	complete data	50	122	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2345	complete data	50	110	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2346	complete data	50	111	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2347	complete data	25	128	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2348	complete data	50	109	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2349	complete data	40	112	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2350	complete data	50	101	50	0	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2351	complete data	23	116	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2352	complete data	36	112	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2353	complete data	45	112	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2354	complete data	50	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2355	complete data	34	82	35	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2356	complete data	26	106	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2357	complete data	50	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2358	complete data	42	119	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2359	complete data	36	121	48	28	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2360	complete data	49	106	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2361	complete data	49	111	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2362	complete data	50	108	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2363	complete data	32	111	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2364	complete data	50	109	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2365	complete data	36	117	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2366	complete data	32	117	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
